timestamp,captcha_file,sent_string,method,conf_score,success,notes
2025-08-25 15:08:53,attempts\captcha_images\captcha_1756123730027.png,5683,tesseract,15.0,True,
2025-08-25 15:08:59,attempts\captcha_images\captcha_1756123736729.png,3339,tesseract,47.0,True,
2025-08-25 15:09:06,attempts\captcha_images\captcha_1756123743164.png,1236,tesseract,31.0,True,
2025-08-25 15:09:13,attempts\captcha_images\captcha_1756123749623.png,8899,tesseract,6.0,True,
2025-08-25 15:09:19,attempts\captcha_images\captcha_1756123756367.png,4652,tesseract,75.0,True,
2025-08-25 15:09:26,attempts\captcha_images\captcha_1756123762876.png,2465,tesseract,0.0,True,
2025-08-25 15:09:32,attempts\captcha_images\captcha_1756123769327.png,4749,tesseract,38.0,True,
2025-08-25 15:09:38,attempts\captcha_images\captcha_1756123775725.png,894,tesseract,0.0,False,error_present
2025-08-25 15:09:46,attempts\captcha_images\captcha_1756123782790.png,1,tesseract,73.0,False,error_present
2025-08-25 15:09:52,attempts\captcha_images\captcha_1756123789765.png,4,tesseract,0.0,False,error_present
2025-08-25 15:10:00,attempts\captcha_images\captcha_1756123796713.png,1180,tesseract,0.0,True,
2025-08-25 15:10:06,attempts\captcha_images\captcha_1756123803809.png,1,tesseract,37.0,False,error_present
2025-08-25 15:10:13,attempts\captcha_images\captcha_1756123810519.png,14,tesseract,37.0,False,error_present
2025-08-25 15:10:21,attempts\captcha_images\captcha_1756123817625.png,2347,tesseract,12.0,True,
2025-08-25 15:10:27,attempts\captcha_images\captcha_1756123824435.png,3749,tesseract,16.0,True,
2025-08-25 15:10:34,attempts\captcha_images\captcha_1756123831135.png,7676,tesseract,15.0,True,
2025-08-25 15:10:40,attempts\captcha_images\captcha_1756123837537.png,1830,tesseract,36.0,True,
2025-08-25 15:10:46,attempts\captcha_images\captcha_1756123844075.png,,tesseract,0.0,True,
2025-08-25 15:10:53,attempts\captcha_images\captcha_1756123849576.png,1995,tesseract,7.0,False,error_present
2025-08-25 15:11:00,attempts\captcha_images\captcha_1756123856851.png,5482,tesseract,0.0,False,error_present
2025-08-25 15:11:07,attempts\captcha_images\captcha_1756123864075.png,1992,tesseract,0.0,True,
2025-08-26 00:14:23,attempts\captcha_images\captcha_1756156459287.png,6315,tesseract,55.0,True,
2025-08-26 00:14:28,attempts\captcha_images\captcha_1756156466363.png,,tesseract,0.0,True,
2025-08-26 00:14:35,attempts\captcha_images\captcha_1756156472123.png,1188,tesseract,0.0,False,error_present
2025-08-26 00:14:43,attempts\captcha_images\captcha_1756156479724.png,9372,tesseract,0.0,True,
2025-08-26 00:14:49,attempts\captcha_images\captcha_1756156486468.png,8782,tesseract,0.0,False,error_present
2025-08-26 00:14:56,attempts\captcha_images\captcha_1756156493565.png,,tesseract,0.0,False,error_present
2025-08-26 00:15:03,attempts\captcha_images\captcha_1756156500836.png,,tesseract,0.0,False,error_present
2025-08-26 00:15:11,attempts\captcha_images\captcha_1756156507861.png,8532,tesseract,13.0,True,
2025-08-26 00:15:17,attempts\captcha_images\captcha_1756156514535.png,5616,tesseract,21.0,True,
2025-08-26 00:15:23,attempts\captcha_images\captcha_1756156521025.png,,tesseract,0.0,True,
2025-08-26 00:15:29,attempts\captcha_images\captcha_1756156526623.png,,tesseract,0.0,True,
2025-08-26 00:15:35,attempts\captcha_images\captcha_1756156532333.png,3416,tesseract,3.0,True,
2025-08-26 00:15:42,attempts\captcha_images\captcha_1756156538705.png,3405,tesseract,0.0,True,
2025-08-26 00:15:48,attempts\captcha_images\captcha_1756156545080.png,3592,tesseract,0.0,True,
2025-08-26 00:15:54,attempts\captcha_images\captcha_1756156551545.png,3827,tesseract,0.0,True,
2025-08-26 00:16:01,attempts\captcha_images\captcha_1756156557857.png,2283,tesseract,12.0,True,
2025-08-26 00:16:06,attempts\captcha_images\captcha_1756156564403.png,,tesseract,0.0,True,
2025-08-26 00:16:12,attempts\captcha_images\captcha_1756156570119.png,,tesseract,0.0,True,
2025-08-26 00:16:18,attempts\captcha_images\captcha_1756156576081.png,,tesseract,0.0,True,
2025-08-26 00:16:24,attempts\captcha_images\captcha_1756156581872.png,,tesseract,0.0,True,
2025-08-26 00:16:31,attempts\captcha_images\captcha_1756156587658.png,9349,tesseract,0.0,True,
2025-08-26 00:16:35,attempts\captcha_images\captcha_1756156594116.png,,tesseract,0.0,False,submit_failed
2025-08-26 00:16:35,attempts\captcha_images\captcha_1756156594116.png,,tesseract,0.0,False,submit_failed
2025-08-26 00:16:36,attempts\captcha_images\captcha_1756156594116.png,,tesseract,0.0,False,submit_failed
2025-08-26 00:16:36,attempts\captcha_images\captcha_1756156594116.png,,tesseract,0.0,False,submit_failed
2025-08-26 00:18:42,attempts\captcha_images\captcha_1756156719343.png,1638,tesseract,48.0,True,
2025-08-26 00:18:48,attempts\captcha_images\captcha_1756156725976.png,,tesseract,0.0,True,
2025-08-26 00:18:55,attempts\captcha_images\captcha_1756156731801.png,1963,tesseract,45.0,True,
2025-08-26 00:19:01,attempts\captcha_images\captcha_1756156738050.png,5828,tesseract,40.0,True,
2025-08-26 00:19:07,attempts\captcha_images\captcha_1756156744375.png,1,tesseract,74.0,False,error_present
2025-08-26 00:19:14,attempts\captcha_images\captcha_1756156751399.png,,tesseract,0.0,False,error_present
2025-08-26 00:19:21,attempts\captcha_images\captcha_1756156758101.png,9924,tesseract,10.0,True,
2025-08-26 00:19:27,attempts\captcha_images\captcha_1756156764749.png,4,tesseract,0.0,False,error_present
2025-08-26 00:19:35,attempts\captcha_images\captcha_1756156771521.png,1683,tesseract,0.0,True,
2025-08-26 00:19:40,attempts\captcha_images\captcha_1756156778424.png,,tesseract,0.0,True,
2025-08-26 00:24:11,attempts\captcha_images\captcha_1756157048475.png,,tesseract,0.0,True,
2025-08-26 00:24:17,attempts\captcha_images\captcha_1756157054315.png,6334,tesseract,0.0,True,
2025-08-26 00:24:24,attempts\captcha_images\captcha_1756157060988.png,8627,tesseract,0.0,True,
2025-08-26 00:24:31,attempts\captcha_images\captcha_1756157067611.png,3537,tesseract,0.0,True,
2025-08-26 00:24:37,attempts\captcha_images\captcha_1756157074319.png,1,tesseract,75.0,True,
2025-08-26 00:24:43,attempts\captcha_images\captcha_1756157080726.png,4360,tesseract,1.0,True,
2025-08-26 00:24:50,attempts\captcha_images\captcha_1756157087146.png,3092,tesseract,0.0,True,
2025-08-26 00:24:57,attempts\captcha_images\captcha_1756157093843.png,4318,tesseract,0.0,True,
2025-08-26 00:25:03,attempts\captcha_images\captcha_1756157100586.png,6918,tesseract,0.0,True,
2025-08-26 00:25:10,attempts\captcha_images\captcha_1756157107020.png,1637,tesseract,0.0,True,
2025-08-26 00:25:17,attempts\captcha_images\captcha_1756157114191.png,8544,tesseract,21.0,True,
2025-08-26 00:30:21,attempts\captcha_images\captcha_1756157418745.png,1,tesseract,74.0,False,captcha_incorrect
2025-08-26 00:30:28,attempts\captcha_images\captcha_1756157425612.png,,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:30:35,attempts\captcha_images\captcha_1756157432345.png,,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:30:42,attempts\captcha_images\captcha_1756157438979.png,1,tesseract,78.0,False,captcha_incorrect
2025-08-26 00:30:51,attempts\captcha_images\captcha_1756157447913.png,8305,tesseract,0.0,True,
2025-08-26 00:30:56,attempts\captcha_images\captcha_1756157454114.png,1,tesseract,74.0,False,captcha_incorrect
2025-08-26 00:31:04,attempts\captcha_images\captcha_1756157460834.png,47,tesseract,25.0,False,captcha_incorrect
2025-08-26 00:31:11,attempts\captcha_images\captcha_1756157467985.png,252,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:31:18,attempts\captcha_images\captcha_1756157475403.png,41,tesseract,37.0,False,captcha_incorrect
2025-08-26 00:31:27,attempts\captcha_images\captcha_1756157484698.png,6525,tesseract,44.0,True,
2025-08-26 00:31:34,attempts\captcha_images\captcha_1756157490918.png,6892,tesseract,0.0,True,
2025-08-26 00:31:40,attempts\captcha_images\captcha_1756157497106.png,3730,tesseract,12.0,True,
2025-08-26 00:31:46,attempts\captcha_images\captcha_1756157503314.png,6464,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:31:54,attempts\captcha_images\captcha_1756157510392.png,2763,tesseract,35.0,False,captcha_incorrect
2025-08-26 00:32:01,attempts\captcha_images\captcha_1756157517776.png,588,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:32:08,attempts\captcha_images\captcha_1756157525121.png,9332,tesseract,0.0,True,
2025-08-26 00:32:14,attempts\captcha_images\captcha_1756157531658.png,1,tesseract,37.0,False,captcha_incorrect
2025-08-26 00:32:21,attempts\captcha_images\captcha_1756157538608.png,,tesseract,0.0,False,captcha_incorrect
2025-08-26 00:32:28,attempts\captcha_images\captcha_1756157545322.png,220,tesseract,0.0,False,captcha_incorrect
